Id,Joy,Sadness,Tentative,Analytical,Fear,Anger
P1,0.531373,0.520348,0.708033,,,
P10,0.642117,,0.651181,0.606895,,
P11,0.606516,,,0.62086,,
P12,0.528993,0.521192,0.909287,0.514447,,
P13,0.574884,0.510653,0.70978,,,
P14,0.599124,,,0.660757,0.549712,
P15,0.582462,,0.865037,,,
P16,0.547432,0.541628,0.856556,0.839342,,
P17,0.620083,,0.79114,,,
P20,0.656322,,0.841594,,,
P21,0.623236,0.502692,0.939313,,,
P22,0.601007,,,0.661387,,
P24,0.617357,0.537994,0.837654,0.767069,,
P25,0.546439,,0.795437,0.62153,,
P27,0.552336,,0.622226,0.799246,0.704913,
P29,0.569757,,0.884209,0.627308,,
P3,0.590378,,0.803487,,,
P30,0.53912,,,,,
P31,0.620127,,0.817683,0.671715,,
P32,0.558735,,0.596173,0.630027,,
P33,0.541294,0.50023,0.754141,,,
P34,0.643133,,0.80168,0.818356,,
P35,,,0.774175,,,
P37,0.574674,,0.843399,0.682387,,
P4,,0.531248,0.659621,0.631495,,
P42,0.635442,,0.730298,0.524537,,
P43,0.556939,,,,,
P44,0.593686,,0.578696,0.65647,,
P45,0.606943,,0.796527,0.718554,,
P47,0.568624,0.52235,0.89565,,,
P48,0.527468,0.529908,0.905272,,,
P49,0.579531,0.526772,0.838549,0.562067,,
P5,0.567398,0.527247,0.686396,0.813271,,
P50,0.527046,0.520447,0.699407,0.755626,,
P52,0.610191,,0.741364,,,
P53,0.545467,0.544708,,0.742985,,
P55,,,0.918173,,,
P56,0.577435,,0.870945,0.53233,,
P57,0.635877,0.512819,,0.752391,,
P58,0.637748,,0.525123,0.556475,,
P59,0.612539,,0.730978,0.523684,,
P6,0.561605,,,0.786975,,
P60,0.592829,0.524873,0.893202,0.684065,,
P61,,,0.786079,0.530705,,
P62,,,0.718532,,,
P63,0.570932,0.512983,0.872927,,,
P64,0.600482,,0.839085,,,
P65,0.628847,,0.908974,0.519709,,
P66,0.577237,,0.577349,,,
P67,0.586453,,0.779201,0.531068,,
P69,0.607211,,0.830149,,,
P7,0.55441,0.520089,0.880877,0.724077,,
P70,0.559356,,0.935873,,0.57921,
P71,0.631125,,0.722889,0.780053,,
P72,0.585696,,0.775024,,0.634106,
P73,0.605856,0.511005,0.554195,0.535883,,
P74,0.6332,,0.780179,0.718347,0.700167,
P76,0.583948,,0.87444,,,
P77,0.587358,,,0.556651,,
P78,0.619539,,0.761618,0.697832,,
P79,0.553075,,0.846596,,,
P8,0.530277,,,0.691361,,
P80,0.59619,,0.686357,,,0.567738
P81,0.625596,0.547526,,0.743633,,
P83,0.646988,,0.572752,0.549348,,
P84,0.605029,,0.647433,0.524264,,
P85,0.59867,0.525691,0.963865,0.741858,,
P86,0.574811,0.510105,0.846864,,,
P89,0.597407,,0.912696,,,
PP1,0.566306,,0.84639,0.678164,,
PP10,0.593792,,0.619706,0.774748,,
PP11,0.585006,,,0.838033,,
PP12,0.65635,0.603491,,0.857958,,
PP13,0.545907,,0.509229,0.63224,,
PP14,0.595013,,0.666857,0.795572,,
PP15,0.557098,,0.730289,0.860143,,
PP16,0.593797,0.56531,0.87224,0.827804,,
PP17,0.60951,0.510845,0.749955,0.665184,0.56106,
PP20,0.580609,,0.545648,,,
PP21,0.602427,,0.771649,0.554331,,
PP22,0.590151,,,0.52143,,
PP24,0.590296,,0.732542,0.709999,,
PP25,0.579007,,0.834716,0.645817,,
PP27,0.546533,,0.839375,0.669677,0.553728,
PP29,0.637,,0.80661,0.709334,,
PP3,0.587731,0.520232,0.839925,,,
PP30,0.632285,0.564415,0.781818,0.748406,0.576831,
PP31,0.574648,,0.837899,0.696358,,
PP32,0.589626,,,,,
PP33,0.581312,,0.706598,0.691491,,
PP34,0.581108,,0.6786,0.784624,,
PP35,0.580459,0.555632,,,,
PP37,0.587493,0.592502,0.738477,0.780777,,
PP4,0.525834,0.549902,0.823342,0.667154,,
PP42,0.577413,,0.598798,0.63414,,
PP43,,,0.604205,0.742837,,
PP44,0.589875,,,0.623054,,
PP45,0.510244,,,0.84809,,0.60313
PP47,0.566315,,0.67972,,,
PP48,0.570662,,0.812345,,,
PP49,0.556974,0.525625,0.565595,0.58986,,
PP5,0.615878,,,0.625196,,
PP50,0.563253,,0.566119,0.684553,,
PP52,0.602471,0.519499,0.911392,0.590931,,
PP53,0.582411,0.538872,0.919234,0.710866,,
PP55,0.54551,0.573253,0.910782,0.553863,,
PP56,0.530096,,0.658468,,,
PP57,0.64811,,,0.656941,,
PP58,0.548439,0.504096,,0.566062,,
PP59,0.601091,0.501362,0.910431,0.729104,,
PP6,0.541321,,,0.785007,,
PP60,0.551533,0.52431,0.811233,0.769945,,
PP61,0.545274,,,,,
PP62,0.588052,,0.544011,0.776658,,
PP63,0.58356,,0.806965,,,
PP64,0.562631,,0.764382,,,
PP65,0.585706,,0.680849,0.690473,,
PP66,0.601742,,,0.703332,,
PP67,0.570435,,0.839877,0.545903,,
PP69,0.880435,,0.901508,0.666205,,
PP7,,0.546784,0.867774,0.69385,,
PP70,0.540716,,0.590458,0.539031,,
PP71,0.573777,,0.777169,0.560148,,
PP72,0.540759,,0.694627,0.709693,0.527522,
PP73,0.603551,0.581095,0.769479,0.707303,,
PP74,0.611928,0.508572,0.67589,0.755757,,
PP76,0.574318,,0.767392,0.733168,,
PP77,0.61123,0.515024,0.545353,0.590194,,
PP78,,,0.553381,0.624048,,
PP79,0.606445,,0.851393,0.660891,,
PP8,0.525542,,,0.743151,,
PP80,0.581785,,0.667137,,,
PP81,0.591046,,,0.83662,,
PP83,0.588511,,0.813839,0.576384,,
PP84,0.655967,,0.794747,0.611884,,
PP85,0.611179,0.508575,0.953332,0.684415,,
PP86,0.603404,0.50201,,,,
PP89,0.617984,,0.817721,0.614093,,
